sexo,posse_de_veiculo,posse_de_imovel,qtd_filhos,tipo_renda,educacao,estado_civil,tipo_residencia,idade,tempo_emprego,qt_pessoas_residencia,renda
F,False,False,1,Assalariado,Secundário,Casado,Casa,33,9.432876712328769,3.0,1319.94
M,True,True,0,Assalariado,Superior completo,Casado,Casa,34,7.178082191780822,2.0,7390.48
F,False,True,0,Empresário,Superior completo,Casado,Casa,47,3.2931506849315078,2.0,4010.06
F,True,False,0,Assalariado,Superior completo,Casado,Casa,35,6.2904109589041095,2.0,1434.22
F,False,True,0,Empresário,Secundário,Casado,Casa,46,11.652054794520549,2.0,1934.62
M,True,False,0,Servidor público,Secundário,Solteiro,Governamental,23,3.3863013698630136,1.0,2688.53
F,False,True,0,Empresário,Superior completo,União,Casa,56,14.126027397260271,2.0,4099.21
F,False,False,2,Assalariado,Secundário,Casado,Casa,42,9.523287671232875,4.0,14038.82
F,False,False,0,Pensionista,Secundário,Casado,Casa,57,,2.0,1767.96
F,False,False,0,Assalariado,Superior completo,Casado,Casa,38,20.27397260273973,2.0,4748.97
M,True,True,1,Pensionista,Secundário,Casado,Casa,42,,3.0,9993.26
M,True,False,0,Assalariado,Secundário,Solteiro,Com os pais,31,9.065753424657537,1.0,12744.28
F,False,True,0,Pensionista,Superior completo,Casado,Casa,63,,2.0,6090.24
F,False,True,1,Assalariado,Secundário,Casado,Casa,36,7.016438356164382,3.0,4196.62
M,True,True,0,Pensionista,Secundário,União,Casa,63,,2.0,1690.95
F,False,False,0,Pensionista,Secundário,Viúvo,Casa,65,,1.0,3549.05
M,True,True,0,Assalariado,Superior completo,Casado,Casa,32,5.013698630136987,2.0,4515.05
M,True,True,1,Assalariado,Secundário,Casado,Casa,46,0.6657534246575343,3.0,4654.36
F,False,False,0,Empresário,Superior incompleto,Solteiro,Casa,48,0.9287671232876712,1.0,6728.28
F,False,True,0,Assalariado,Secundário,Separado,Casa,53,5.764383561643837,1.0,5135.91
F,False,False,0,Assalariado,Secundário,Viúvo,Casa,60,28.03287671232877,1.0,10401.44
F,False,False,0,Empresário,Superior completo,Solteiro,Casa,67,21.194520547945206,1.0,15707.93
F,False,True,0,Assalariado,Superior completo,Solteiro,Casa,28,2.180821917808219,1.0,1205.98
F,False,False,0,Assalariado,Superior incompleto,Solteiro,Com os pais,26,3.4739726027397264,1.0,3061.06
F,False,True,0,Assalariado,Secundário,Casado,Casa,51,2.0575342465753423,2.0,4104.5
F,False,False,0,Assalariado,Secundário,Casado,Casa,40,2.871232876712329,2.0,4043.51
F,True,False,0,Assalariado,Superior completo,Casado,Casa,34,11.936986301369863,2.0,7463.3
M,True,False,0,Assalariado,Superior completo,Solteiro,Casa,24,4.608219178082192,1.0,4258.8
F,False,True,0,Pensionista,Secundário,Casado,Casa,63,,2.0,6557.63
F,False,True,0,Pensionista,Superior completo,Casado,Casa,56,,2.0,2728.37
F,True,True,0,Assalariado,Superior completo,Casado,Casa,50,4.986301369863013,2.0,3208.53
M,False,True,0,Pensionista,Secundário,Casado,Casa,62,,2.0,3241.76
M,False,True,0,Assalariado,Secundário,União,Casa,55,7.1068493150684935,2.0,34951.71
F,False,True,1,Assalariado,Superior completo,Casado,Casa,40,2.016438356164384,3.0,5099.06
M,False,True,0,Empresário,Superior completo,Solteiro,Casa,34,6.882191780821918,1.0,3119.47
M,False,False,0,Assalariado,Superior completo,Solteiro,Casa,25,3.2684931506849315,1.0,1470.56
M,True,True,2,Assalariado,Superior completo,Casado,Casa,41,12.895890410958906,4.0,12050.97
M,True,True,0,Empresário,Secundário,Casado,Casa,58,21.85753424657534,2.0,16542.49
F,False,True,0,Empresário,Superior completo,Casado,Casa,46,3.797260273972603,2.0,1818.43
F,False,False,0,Assalariado,Secundário,Casado,Casa,46,15.087671232876714,2.0,2181.1
